handle,name,layer,x,y
74DE47,BATAS AREA LUAS LANSKAP,DEFPOINTS,-500.0,0.0
78BCAD,LA_TREE PLANTING$0$LA_Flamboyan_6M,LA-POHON,717046.2981295362,9309189.071986439
78BCAE,LA_TREE PLANTING$0$LA_Trembesi_6M,LA-POHON,717041.7654963006,9309184.94843524
78BCAF,LA_TREE PLANTING$0$LA_Damar_4M,LA-POHON,717078.4066418838,9309032.336499488
78BCB0,LA_TREE PLANTING$0$LA_Leda_4M,LA-POHON,717074.8512186502,9309026.347694783
78BCB1,LA_TREE PLANTING$0$LA_Pulai_4M,LA-POHON,717067.705429731,9309020.337615227
78BCC0,LA_Baobab_3M,LA-POHON,716924.5782030561,9309362.900542209
78BCC1,LA_Sikat Botol_2M,LA-POHON,716923.946958784,9309389.788681297
78BCC2,LA_Ketapang Laut_3M,LA-POHON,716889.9577991758,9309244.83699499
78BCCF,LA_Tower Tree_2M,LA-POHON,10053507.43276964,9406277.213757059
795C71,LA_Baobab_3M,LA-POHON,716524.2488596151,9309536.22715565
795C72,LA_Baobab_3M,LA-POHON,716523.3585899454,9309527.382946596
795C73,LA_TREE PLANTING$0$LA_Pulai_4M,LA-POHON,716167.2181358358,9309446.033995086
795C74,LA_TREE PLANTING$0$LA_Pulai_4M,LA-POHON,716156.3200851735,9309456.833957186
795C75,LA_TREE PLANTING$0$LA_Pulai_4M,LA-POHON,716147.1702971203,9309425.92404224
795C76,LA_TREE PLANTING$0$LA_Pulai_4M,LA-POHON,716145.7689724345,9309417.34662638
795C77,LA_TREE PLANTING$0$LA_Pulai_4M,LA-POHON,716137.9593260234,9309426.810135234
795C78,LA_TREE PLANTING$0$LA_Pulai_4M,LA-POHON,716137.1573994932,9309418.232719377
795C79,LA_Ketapang Laut_3M,LA-POHON,716404.5354189004,9309592.85034892
795C7A,LA_Ketapang Laut_3M,LA-POHON,716405.062151007,9309597.868709847
795C7B,LA_Ketapang Laut_3M,LA-POHON,716405.560790735,9309602.746448074
795C7C,LA_Ketapang Laut_3M,LA-POHON,716406.068856195,9309607.740179706
795C7D,LA_Ketapang Laut_3M,LA-POHON,716384.7991321663,9309594.194720045
795C7E,LA_Ketapang Laut_3M,LA-POHON,716401.6989972221,9309562.244082432
795C7F,LA_Ketapang Laut_3M,LA-POHON,716401.2844498133,9309557.237914229
795C80,LA_Ketapang Laut_3M,LA-POHON,716400.7388662415,9309552.289214373
795C81,LA_Ketapang Laut_3M,LA-POHON,716383.7617048383,9309564.010617815
795C82,LA_Ketapang Laut_3M,LA-POHON,716383.276556845,9309558.973805238
795C83,LA_Ketapang Laut_3M,LA-POHON,716382.4718580405,9309554.187187275
795C84,LA_Ketapang Laut_3M,LA-POHON,716392.9641846475,9309521.29773317
795C85,LA_Ketapang Laut_3M,LA-POHON,716390.0967289855,9309525.429358225
795C86,LA_Ketapang Laut_3M,LA-POHON,716403.7263380897,9309506.339623153
795C87,LA_Ketapang Laut_3M,LA-POHON,716394.465463561,9309499.79692839
795C88,LA_Ketapang Laut_3M,LA-POHON,716389.7115676835,9309496.42742961
795C89,LA_Ketapang Laut_3M,LA-POHON,716383.6258712582,9309514.788446462
795C8A,LA_Ketapang Laut_3M,LA-POHON,716378.8719753807,9309511.418947682
795C8B,LA_Ketapang Laut_3M,LA-POHON,716358.1895157761,9309534.313624201
795C8C,LA_Ketapang Laut_3M,LA-POHON,716356.0792606199,9309540.33755938
795C8D,LA_Ketapang Laut_3M,LA-POHON,716353.432538337,9309549.776413566
795C8E,LA_Ketapang Laut_3M,LA-POHON,716353.2574522401,9309553.455987161
795C8F,LA_Sikat Botol_2M,LA-POHON,716544.3023240005,9309543.257466452
795C90,LA_Sikat Botol_2M,LA-POHON,716537.6333410738,9309543.947655682
795C91,LA_Sikat Botol_2M,LA-POHON,716523.8892988089,9309520.272624126
795C92,LA_Sikat Botol_2M,LA-POHON,716517.2203158822,9309520.962813355
795C93,LA_Sikat Botol_2M,LA-POHON,716541.7761358016,9309518.358312981
795C94,LA_Sikat Botol_2M,LA-POHON,716535.107152875,9309519.04850221
795C95,LA_Sikat Botol_2M,LA-POHON,716516.0142345846,9309511.548898278
795C96,LA_Sikat Botol_2M,LA-POHON,716522.728280541,9309503.257410934
795C97,LA_TREE PLANTING$0$LA_Damar_4M,LA-POHON,716141.7136254773,9309453.138296656
795C98,LA_TREE PLANTING$0$LA_Damar_4M,LA-POHON,716136.9780377516,9309449.453977332
795C99,LA_TREE PLANTING$0$LA_Damar_4M,LA-POHON,716132.2521361728,9309445.75722491
795C9A,LA_TREE PLANTING$0$LA_Damar_4M,LA-POHON,716127.5213915207,9309442.066689037
795C9B,LA_TREE PLANTING$0$LA_Damar_4M,LA-POHON,716122.7906468686,9309438.376153164
795C9C,LA_TREE PLANTING$0$LA_Damar_4M,LA-POHON,716118.0599022164,9309434.68561729
795C9D,LA_TREE PLANTING$0$LA_Damar_4M,LA-POHON,716154.4094076778,9309334.857804662
795C9E,LA_TREE PLANTING$0$LA_Damar_4M,LA-POHON,716137.5550891706,9309322.91601097
795C9F,LA_TREE PLANTING$0$LA_Leda_4M,LA-POHON,716195.8666678288,9309499.047768274
795CA0,LA_TREE PLANTING$0$LA_Damar_4M,LA-POHON,716149.5582114892,9309331.468020182
795CA1,LA_TREE PLANTING$0$LA_Damar_4M,LA-POHON,716143.9838914095,9309327.44417879
795CA2,LA_TREE PLANTING$0$LA_Damar_4M,LA-POHON,716141.2455475316,9309318.060780063
795CA3,LA_TREE PLANTING$0$LA_Damar_4M,LA-POHON,716157.201329349,9309329.832666297
795CA4,LA_Ketapang Laut_3M,LA-POHON,716387.1691833634,9309580.184727767
795CA5,LA_Ketapang Laut_3M,LA-POHON,716381.4484045362,9309577.836798793
795CA6,LA_Ketapang Laut_3M,LA-POHON,716377.2060837451,9309581.167667152
795CA7,LA_Ketapang Laut_3M,LA-POHON,716372.0188035973,9309578.69017073
795CA8,LA_TREE PLANTING$0$LA_Damar_4M,LA-POHON,716167.4449374193,9309282.890581066
795CA9,LA_TREE PLANTING$0$LA_Damar_4M,LA-POHON,716172.1179415795,9309266.444727909
795CAA,LA_TREE PLANTING$0$LA_Pulai_4M,LA-POHON,716162.4027255124,9309394.445666177
795CAB,LA_TREE PLANTING$0$LA_Pulai_4M,LA-POHON,716150.0274981974,9309382.807451596
795CAC,LA_TREE PLANTING$0$LA_Pulai_4M,LA-POHON,716143.9877608678,9309378.942211378
795CAD,LA_Sikat Botol_2M,LA-POHON,716556.0109878253,9309542.202935928
795CAE,LA_TREE PLANTING$0$LA_Pulai_4M,LA-POHON,716153.897369728,9309363.781011904
795CAF,LA_Sikat Botol_2M,LA-POHON,716558.671100279,9309544.568873823
795CB0,LA_Sikat Botol_2M,LA-POHON,716553.3932274769,9309517.297172584
795CB1,LA_Sikat Botol_2M,LA-POHON,716555.732880899,9309514.461361917
795CB2,LA_Sikat Botol_2M,LA-POHON,716555.2198794677,9309509.367385639
795CB3,LA_Ketapang Laut_3M,LA-POHON,716370.5001142941,9309584.304593358
795CB4,LA_Sikat Botol_2M,LA-POHON,716527.438225144,9309554.355604142
795CB5,LA_Sikat Botol_2M,LA-POHON,716526.6552494,9309545.029609997
795CB6,LA_Ketapang Laut_3M,LA-POHON,716400.1477536187,9309547.198903302
795CB7,LA_Ketapang Laut_3M,LA-POHON,716399.6959916288,9309541.241183156
795CB8,LA_TREE PLANTING$0$LA_Leda_4M,LA-POHON,716247.1908974092,9309408.954077747
795CB9,LA_TREE PLANTING$0$LA_Leda_4M,LA-POHON,716246.3119238982,9309400.338288315
795CBA,LA_Tower Tree_2M,LA-POHON,-571.4131425583035,1.869312519207596
795CBB,LA_Tower Tree_2M,LA-POHON,-577.191689535859,-30.4865378588438
795CBC,LA_Tower Tree_2M,LA-POHON,-582.3387840704526,-64.28695192933083
795CBD,LA_Tower Tree_2M,LA-POHON,-586.6776059990516,-68.85998892970383
795CBE,LA_Tower Tree_2M,LA-POHON,-591.2465914769564,-73.04018997773528
795CBF,LA_Tower Tree_2M,LA-POHON,-596.0107437508414,-76.62032541260123
795CC0,LA_Tower Tree_2M,LA-POHON,-600.671142626321,-80.405083630234
795CC1,LA_Tower Tree_2M,LA-POHON,-605.8054566073697,-83.76862034946681
795CC2,LA_Tower Tree_2M,LA-POHON,-571.027504192316,32.40375355631113
795CC3,LA_Tower Tree_2M,LA-POHON,-567.3258433956653,46.88749670796096
795CC4,LA_Tower Tree_2M,LA-POHON,-566.3287010743516,56.61095810309053
795CC5,LA_TREE PLANTING$0$LA_Leda_4M,LA-POHON,716240.5155171935,9309343.800336577
795CC6,LA_TREE PLANTING$0$LA_Leda_4M,LA-POHON,716239.6372407274,9309336.457799656
795CC7,LA_TREE PLANTING$0$LA_Leda_4M,LA-POHON,716245.1303023875,9309463.250764411
795CC8,LA_Tower Tree_2M,LA-POHON,-644.5264320340939,-98.85296460986137
795CC9,LA_Tower Tree_2M,LA-POHON,-649.1238693497144,-99.65596136637032
795CCA,LA_Tower Tree_2M,LA-POHON,-646.4077947357436,-103.347646003589
795CCB,LA_Tower Tree_2M,LA-POHON,-642.8180300812236,-103.6319213993847
795CCC,LA_Tower Tree_2M,LA-POHON,-643.1526595086324,-107.6260685194283
795CCD,LA_Tower Tree_2M,LA-POHON,-579.7073630236554,-52.82855963520706
795CCE,LA_Tower Tree_2M,LA-POHON,-575.9455954538425,-19.7287608794868
795CCF,LA_Tower Tree_2M,LA-POHON,-574.5845576752909,-8.133068988099694
795CD0,LA_Tower Tree_2M,LA-POHON,-570.3824591259472,11.10782442055642
795CD1,LA_Tower Tree_2M,LA-POHON,-564.2769206536468,70.59740538336337
795CD2,LA_Tower Tree_2M,LA-POHON,-567.2398943816078,78.17012096010149
795CD3,LA_TREE PLANTING$0$LA_Damar_4M,LA-POHON,716173.2846037141,9309286.906183915
795CD4,LA_TREE PLANTING$0$LA_Damar_4M,LA-POHON,716179.545609701,9309290.820190853
795CD5,LA_Tower Tree_2M,LA-POHON,-583.001714809332,92.45476136729123
795CD6,LA_Tower Tree_2M,LA-POHON,-583.5231910920701,97.01622117869556
795CD7,LA_Tower Tree_2M,LA-POHON,-582.3694108834025,102.2165773287415
795CD8,LA_TREE PLANTING$0$LA_Damar_4M,LA-POHON,716258.5079013783,9309523.621263092
795CD9,LA_TREE PLANTING$0$LA_Damar_4M,LA-POHON,716258.654980024,9309529.66366534
795CDA,LA_TREE PLANTING$0$LA_Damar_4M,LA-POHON,716261.2117565017,9309535.190397566
795CDB,LA_Sikat Botol_2M,LA-POHON,716636.6591556293,9309553.608403463
795CDC,LA_Sikat Botol_2M,LA-POHON,716632.5274236029,9309506.02851974
795CDD,LA_TREE PLANTING$0$LA_Leda_4M,LA-POHON,716189.4599985068,9309494.2566736
795CDE,LA_TREE PLANTING$0$LA_Leda_4M,LA-POHON,716183.086598793,9309489.421250971
795CDF,LA_TREE PLANTING$0$LA_Leda_4M,LA-POHON,716176.8158014124,9309484.451039573
795CE0,LA_Sikat Botol_2M,LA-POHON,716558.992623695,9309548.4624335
795CE1,LA_Sikat Botol_2M,LA-POHON,716558.0356231122,9309552.962370738
795CE2,LA_TREE PLANTING$0$LA_Pulai_4M,LA-POHON,716160.947859353,9309353.669825476
795CE3,LA_TREE PLANTING$0$LA_Pulai_4M,LA-POHON,716166.4507828557,9309346.201378118
795CE4,LA_Sikat Botol_2M,LA-POHON,716545.9072652417,9309470.586317029
795CE5,LA_Sikat Botol_2M,LA-POHON,716548.1103896644,9309467.366543032
795CE6,LA_Sikat Botol_2M,LA-POHON,716558.199104949,9309452.937783046
795CE7,LA_Sikat Botol_2M,LA-POHON,716560.3785222085,9309449.804206613
795CE8,LA_Sikat Botol_2M,LA-POHON,716562.6894899406,9309446.663399316
795CE9,LA_Sikat Botol_2M,LA-POHON,716564.8341588585,9309443.660942813
795CEA,LA_TREE PLANTING$0$LA_Pulai_4M,LA-POHON,716161.0426936835,9309477.31414626
795CEB,LA_TREE PLANTING$0$LA_Flamboyan_6M,LA-POHON,716251.7581408062,9309437.70767883
795CEC,LA_TREE PLANTING$0$LA_Flamboyan_6M,LA-POHON,716250.7132239098,9309430.509748105
795CED,LA_TREE PLANTING$0$LA_Trembesi_6M,LA-POHON,716259.5314180176,9309449.700585814
795CEE,LA_TREE PLANTING$0$LA_Trembesi_6M,LA-POHON,716254.3708916153,9309427.226199828
795CEF,LA_TREE PLANTING$0$LA_Trembesi_6M,LA-POHON,716249.1884085042,9309421.940494545
795CF0,LA_Ketapang Laut_3M,LA-POHON,716488.280910877,9309735.255164936
795CF1,LA_Ketapang Laut_3M,LA-POHON,716483.9776990458,9309731.901426643
795CF2,LA_Ketapang Laut_3M,LA-POHON,716476.204758243,9309725.840617947
795CF3,LA_Ketapang Laut_3M,LA-POHON,716470.199599305,9309721.168427752
795CF4,LA_Ketapang Laut_3M,LA-POHON,716463.2681393953,9309715.71754147
795CF5,LA_Ketapang Laut_3M,LA-POHON,716457.4609770081,9309711.201032676
795CF6,LA_TREE PLANTING$0$LA_Damar_4M,LA-POHON,716239.5566647326,9309545.924241263
795CF7,LA_TREE PLANTING$0$LA_Damar_4M,LA-POHON,716245.7550753742,9309550.658130955
795CF8,LA_TREE PLANTING$0$LA_Damar_4M,LA-POHON,716252.5251481961,9309556.035954053
795CF9,LA_TREE PLANTING$0$LA_Damar_4M,LA-POHON,716257.5345742177,9309560.41291679
795CFA,LA_TREE PLANTING$0$LA_Damar_4M,LA-POHON,716259.9396632264,9309567.780551974
795CFB,LA_TREE PLANTING$0$LA_Damar_4M,LA-POHON,716232.9138991319,9309540.829285804
